FractureX[m],FractureY[m],FractureZ[m],Formation
14667466.66,4521717.221,-6323.096162,Fracture
14667307.75,4521730.529,-6328.465511,Fracture
14667321.16,4521733.774,-6329.940263,Fracture
14667599.45,4521732.917,-6343.898824,Fracture
14666808.03,4521730.77,-6313.716078,Fracture
14666883.67,4521748.583,-6317.685811,Fracture
14667526.84,4521761.409,-6349.321705,Fracture
14667542.55,4521768.987,-6330.019246,Fracture
14666725.19,4521794.556,-6317.163562,Fracture
14666660.45,4521809.606,-6326.383436,Fracture
14666030.63,4521840.665,-6334.431068,Fracture
14666059.04,4521835.139,-6356.922737,Fracture
14669117.87,4521845.478,-6347.498601,Fracture
14666992.62,4521871.256,-6331.587065,Fracture
14666334.4,4521894.488,-6369.474337,Fracture
14667502.3,4521910.377,-6345.50867,Fracture
14667584.24,4521912.617,-6355.54491,Fracture
14666510.99,4521909.044,-6335.113379,Fracture
14668411.22,4521932.507,-6338.117153,Fracture
14666164.56,4521928.931,-6347.478152,Fracture
14667297.33,4521947.655,-6306.955716,Fracture
14667683.06,4521984.76,-6350.316619,Fracture
14668215.78,4522005.128,-6351.212391,Fracture
14668469.18,4522009.984,-6351.453536,Fracture
14667528.13,4522031.966,-6352.216503,Fracture
14667712.03,4522026.897,-6345.17502,Fracture
14667897.81,4522022.542,-6366.692303,Fracture
14667019.2,4522018.101,-6297.661706,Fracture
14665988.02,4522032.618,-6366.63931,Fracture
14666458.52,4522033.638,-6369.23079,Fracture
14666142.1,4522103.761,-6342.838902,Fracture
14667383.33,4522131.037,-6336.094611,Fracture
14668749.97,4522128.731,-6339.236033,Fracture
14665563.87,4522127.5,-6330.887415,Fracture
14667058.84,4522130.377,-6297.903824,Fracture
14665290.66,4522146.699,-6357.870787,Fracture
14667685.45,4522167.163,-6341.802509,Fracture
14669429.4,4522165.34,-6346.683499,Fracture
14666734.75,4522167.148,-6353.546928,Fracture
14668043.48,4522180.536,-6348.119073,Fracture
14666822.27,4522179.462,-6334.782447,Fracture
14669800.43,4522194.741,-6336.525109,Fracture
14667000.38,4522199.27,-6311.64339,Fracture
14667180.16,4522190.631,-6310.805021,Fracture
14667554.6,4522223.851,-6330.912576,Fracture
14666654.77,4522216.348,-6353.148401,Fracture
14667083.46,4522220.249,-6337.560201,Fracture
14666243.44,4522235.259,-6351.146738,Fracture
14666837.58,4522226.06,-6338.375405,Fracture
14667129.51,4522225.992,-6336.282414,Fracture
14666420.41,4522238.164,-6353.397444,Fracture
14666806.49,4522244.728,-6322.205293,Fracture
14667395.75,4522272.947,-6317.107225,Fracture
14666793.23,4522261.886,-6343.500959,Fracture
14668809.83,4522273.369,-6343.431157,Fracture
14667109.46,4522275.246,-6314.161935,Fracture
14667181.97,4522275.75,-6337.948215,Fracture
14667450.77,4522298.986,-6328.291702,Fracture
14666650.22,4522288.547,-6347.498983,Fracture
